run_id,date,variant,orchestrator,method,split,n_cases,rounds,retrieval,memory,llm,exact_match,f1,fallback_rate,delta_em_vs_fixed_ref,metrics_path,notes
20260629T121723Z,2026-06-29,orchestrator_fixed,fixed,debate,validation,2,1,off,read_only,mock,0.0,0.0,0.0,-0.6038,outputs\orchestrator_ablation\20260629T121723Z\orchestrator_fixed\20260629T121725Z_validation_debate\metrics.json,
20260629T121723Z,2026-06-29,orchestrator_judge_mediated,judge_mediated,debate_judge_mediated,validation,2,1,off,read_only,mock,0.0,0.0,0.0,-0.6038,outputs\orchestrator_ablation\20260629T121723Z\orchestrator_judge_mediated\20260629T121728Z_validation_debate\metrics.json,mock smoke only
20260629T123354Z,2026-06-29,orchestrator_fixed,fixed,debate,validation,53,1,off,read_only,local,0.6038,0.8135,,0.0000,outputs/orchestrator_ablation/20260629T123354Z/orchestrator_fixed/20260629T142527Z_validation_debate/metrics.json,qwen3.5:9b server run
20260629T123354Z,2026-06-29,orchestrator_judge_mediated,judge_mediated,debate_judge_mediated,validation,53,1,off,read_only,local,0.6792,0.8640,,+0.0754,outputs/orchestrator_ablation/20260629T123354Z/orchestrator_judge_mediated/20260629T142527Z_validation_debate/metrics.json,+4 hits vs fixed; ties vanilla r=3 EM
20260630T000000Z,2026-06-30,orchestrator_judge_mediated_test,judge_mediated,debate_judge_mediated,test,53,1,off,read_only,local,0.3962,0.6915,0.0094,,docs/experiments/test_metrics/judge_mediated_test_metrics.json,primary test one-shot; best debate EM on test (+7.5pp vs fixed)
