variant,method,retrieval,memory,rounds,judge,roles,exact_match,f1,fallback_rate,metrics_path
full_3r_bm25_memory_judge,debate,bm25_only,read_only,3,on,proponent-opponent,0.4716981132075472,0.798319717162694,0.02358490566037736,outputs/p1_ablation_matrix/20260619T034329Z/full_3r_bm25_memory_judge/20260619T034329Z_validation_debate/metrics.json
retrieval_off,debate,off,read_only,3,on,proponent-opponent,0.4716981132075472,0.797855267139767,0.018867924528301886,outputs/p1_ablation_matrix/20260619T034329Z/retrieval_off/20260619T052512Z_validation_debate/metrics.json
memory_off,debate,bm25_only,off,3,on,proponent-opponent,0.49056603773584906,0.8358562573312662,0.009433962264150943,outputs/p1_ablation_matrix/20260619T034329Z/memory_off/20260619T070426Z_validation_debate/metrics.json
memory_update_on,debate,bm25_only,read_update,3,on,proponent-opponent,0.41509433962264153,0.791173913306909,0.018867924528301886,outputs/p1_ablation_matrix/20260619T034329Z/memory_update_on/20260619T082245Z_validation_debate/metrics.json
rounds_1,debate,bm25_only,read_only,1,on,proponent-opponent,0.5660377358490566,0.8563830829843405,0.018867924528301886,outputs/p1_ablation_matrix/20260619T034329Z/rounds_1/20260619T101431Z_validation_debate/metrics.json
rounds_5,debate,bm25_only,read_only,5,on,proponent-opponent,0.5283018867924528,0.8372905758586615,0.009433962264150943,outputs/p1_ablation_matrix/20260619T034329Z/rounds_5/20260619T104944Z_validation_debate/metrics.json
judge_off_vanilla,vanilla,bm25_only,read_only,3,off,proponent-opponent,0.5849056603773585,0.8920897349401159,0.0,outputs/p1_ablation_matrix/20260619T034329Z/judge_off_vanilla/20260619T134413Z_validation_vanilla/metrics.json
